name,class,section,gender,guardian_name,guardian_phone,address
Tasnim Zaman,Class 1,Section A,MALE,Saiful Bhuiyan,01721314159,Shantinagar Dhaka
Nowshin Khan,Class 1,Section A,FEMALE,Golam Uddin,01811628318,Khilgaon Dhaka
Jubair Bhuiyan,Class 1,Section A,MALE,Azizul Miah,01821942477,Malibagh Dhaka
Fatima Tasnim,Class 1,Section A,FEMALE,Iqbal Alam,01912256636,Moghbazar Dhaka
Imran Hossain,Class 1,Section A,MALE,Mizanur Ali,01922570795,Baily Road Dhaka
Tahmina Rahman,Class 1,Section A,FEMALE,Harun Siddique,01612884954,Siddheswari Dhaka
Hasan Miah,Class 1,Section A,MALE,Kamal Talukder,01623199113,Dhanmondi Dhaka
Hafsa Begum,Class 1,Section A,FEMALE,Jalal Hawlader,01513513272,Mirpur 10 Dhaka
Adnan Rahman,Class 1,Section A,MALE,Sirajul Patwary,01313827431,Mirpur 2 Dhaka
Sabrina Jahan,Class 1,Section A,FEMALE,Shahidul Majumder,01714141590,Uttara Sector 4 Dhaka
Zahir Ali,Class 1,Section B,MALE,Mahmud Zaman,01724455749,Uttara Sector 7 Dhaka
Roshni Chowdhury,Class 1,Section B,FEMALE,Enamul Haque,01814769908,Mohammadpur Dhaka
Farhan Chowdhury,Class 1,Section B,MALE,Abul Hossain,01825084067,Banani Dhaka
Zarin Zaman,Class 1,Section B,FEMALE,Rafiqul Ahmed,01915398226,Gulshan 1 Dhaka
Abrar Talukder,Class 1,Section B,MALE,Mostafa Rahman,01925712385,Baridhara Dhaka
Bushra Khatun,Class 1,Section B,FEMALE,Nurul Islam,01616026544,Basabo Dhaka
Sadman Mahmud,Class 1,Section B,MALE,Mohammad Chowdhury,01626340703,Rampura Dhaka
Fariha Khan,Class 1,Section B,FEMALE,Shafiqul Karim,01516654862,Badda Dhaka
Tamim Patwary,Class 1,Section B,MALE,Ashraful Mahmud,01316969021,Lalbagh Dhaka
Poushi Tasnim,Class 1,Section B,FEMALE,Khorshed Hasan,01717283180,Wari Dhaka
Istiak Khan,Class 2,Section A,MALE,Nazmul Khan,01727597339,Jatrabari Dhaka
Tasfia Rahman,Class 2,Section A,FEMALE,Monirul Sarker,01817911498,Farmgate Dhaka
Nabil Zaman,Class 2,Section A,MALE,Zillur Bhuiyan,01828225657,Tejgaon Dhaka
Orpa Begum,Class 2,Section A,FEMALE,Abdul Uddin,01918539816,Motijheel C/A Dhaka
Wasif Bhuiyan,Class 2,Section A,MALE,Saiful Miah,01928853975,Shantinagar Dhaka
Tanjila Jahan,Class 2,Section A,FEMALE,Golam Alam,01619168134,Khilgaon Dhaka
Samiul Hossain,Class 2,Section A,MALE,Azizul Ali,01629482293,Malibagh Dhaka
Tabassum Chowdhury,Class 2,Section A,FEMALE,Iqbal Siddique,01519796452,Moghbazar Dhaka
Shanto Miah,Class 2,Section A,MALE,Mizanur Talukder,01311110611,Baily Road Dhaka
Nusrat Zaman,Class 2,Section A,FEMALE,Harun Hawlader,01711424770,Siddheswari Dhaka
Shakib Rahman,Class 2,Section B,MALE,Kamal Patwary,01721738929,Dhanmondi Dhaka
Sarah Khatun,Class 2,Section B,FEMALE,Jalal Majumder,01812053088,Mirpur 10 Dhaka
Mehedi Ali,Class 2,Section B,MALE,Sirajul Zaman,01822367247,Mirpur 2 Dhaka
Shaila Khan,Class 2,Section B,FEMALE,Shahidul Haque,01912681406,Uttara Sector 4 Dhaka
Fahim Chowdhury,Class 2,Section B,MALE,Mahmud Hossain,01922995565,Uttara Sector 7 Dhaka
